x	y
16.2423477172852	44.6924095153809
16.7343444824219	44.5902404785156
17.4315261840820	44.4675292968750
18.1443328857422	44.2204132080078
18.9458446502686	43.8057098388672
19.8286170959473	43.3990020751953
20.4284553527832	43.2092094421387
21.1326751708984	42.7125740051270
21.7999114990234	42.1875381469727
22.4036026000977	41.7506942749023
22.9968490600586	41.2426986694336
23.4807624816895	40.8661041259766
24.0495071411133	40.2788619995117
24.6734008789062	39.6375122070312
25.2617568969727	39.0100631713867
25.8249092102051	38.2658386230469
26.4546604156494	37.4940490722656
26.8708248138428	36.7816314697266
27.2409706115723	36.3536376953125
27.8470497131348	35.4554214477539
28.3470554351807	34.3782348632812
28.8400039672852	33.5216102600098
29.3254699707031	32.6102981567383
29.6474628448486	31.8831367492676
29.8902282714844	31.2370033264160
