x	y
10.7747220993042	29.9064865112305
11.1862697601318	29.9017448425293
11.7507734298706	29.7150497436523
12.3797473907471	29.6267585754395
12.8613805770874	29.4474258422852
13.4138460159302	29.2814083099365
13.9575119018555	29.0729732513428
14.5035877227783	28.8229103088379
15.2648124694824	28.4505233764648
15.9015836715698	28.0183792114258
16.7403907775879	27.5934600830078
17.4833068847656	27.1301879882812
17.9928493499756	26.8241806030273
18.3707771301270	26.5164318084717
18.8160953521729	26.1906967163086
19.2887897491455	25.8536453247070
19.5867271423340	25.5054950714111
20.3561935424805	24.7862815856934
20.8437232971191	24.2169628143311
21.3240261077881	23.5841903686523
21.6420841217041	23.0441761016846
