x	y
12.4302034378052	34.4146995544434
12.8761310577393	34.3868980407715
13.2858009338379	34.2633247375488
13.8836431503296	34.0916328430176
14.4076519012451	34.0676193237305
15.1334409713745	33.7330741882324
15.9958858489990	33.3781738281250
16.7377586364746	33.0765495300293
17.4637184143066	32.5702819824219
17.9799308776855	32.2735099792480
18.8689079284668	31.6818809509277
19.7868690490723	30.9316005706787
20.8415641784668	30.2405357360840
21.8392486572266	29.4367866516113
22.5493869781494	28.7211799621582
23.1504058837891	27.9368228912354
23.9035472869873	26.8329830169678
24.5397605895996	25.8364295959473
25.0737571716309	24.8927116394043
