x	y
14.4485855102539	40.0520057678223
15.2126770019531	39.9301528930664
16.2469673156738	39.5933227539062
17.0986747741699	39.3734283447266
17.8733386993408	39.0343475341797
18.5864067077637	38.5810317993164
19.3256492614746	38.3052520751953
20.1193466186523	37.6781997680664
20.6870365142822	37.2776107788086
21.2422599792480	36.9278640747070
22.0644168853760	36.2313690185547
23.0120048522949	35.3411483764648
23.6436862945557	34.5517883300781
24.3486404418945	33.8114624023438
24.7202682495117	33.3921318054199
25.3818340301514	32.6486282348633
25.7718772888184	32.0606689453125
26.1920413970947	31.5879821777344
26.6477394104004	30.8676567077637
27.0900859832764	30.0265007019043
27.3897838592529	29.3519134521484
27.8369655609131	28.4240493774414
